County,Year,healthcare,income,smoking
Tyler,2021,2190,48300.0,26.0
Tyler,2022,2860,46700.0,25.0
Tyler,2023,2840,51600.0,24.0
Tyler,2024,4080,57600.0,21.0
Upshur,2018,2250,40500.0,22.0
Upshur,2019,2240,37900.0,22.0
Upshur,2020,2450,41200.0,24.0
Upshur,2021,2030,45100.0,28.0
Upshur,2022,1610,46200.0,26.0
Upshur,2023,1620,49700.0,26.0
Upshur,2024,1700,47000.0,24.0
Wayne,2018,1640,40900.0,24.0
Wayne,2019,1560,39400.0,24.0
Wayne,2020,1830,38700.0,23.0
Wayne,2021,1820,42100.0,29.0
Wayne,2022,1710,45500.0,28.0
Wayne,2023,1860,49200.0,27.0
Wayne,2024,2140,52500.0,25.0
Webster,2018,1750,30600.0,24.0
Webster,2019,2160,31400.0,24.0
Webster,2020,2790,34100.0,23.0
Webster,2021,2760,34400.0,31.0
Webster,2022,2700,34400.0,29.0
Webster,2023,4030,36900.0,30.0
Webster,2024,4120,40600.0,27.0
Wetzel,2018,1980,42700.0,24.0
Wetzel,2019,1740,41900.0,24.0
Wetzel,2020,1930,44700.0,24.0
Wetzel,2021,1910,46800.0,28.0
Wetzel,2022,2150,47300.0,27.0
Wetzel,2023,2480,50100.0,25.0
Wetzel,2024,2360,48600.0,23.0
Wirt,2018,5880,37500.0,23.0
Wirt,2019,5810,42300.0,23.0
Wirt,2020,5790,44800.0,23.0
Wirt,2021,5830,48600.0,29.0
Wirt,2022,5820,49500.0,28.0
Wirt,2023,5710,50200.0,28.0
Wirt,2024,5060,43400.0,25.0
Wood,2018,1170,46700.0,21.0
Wood,2019,1240,44700.0,21.0
Wood,2020,1220,45300.0,24.0
Wood,2021,1170,49200.0,25.0
Wood,2022,1160,47000.0,23.0
Wood,2023,1140,53400.0,23.0
Wood,2024,1160,57600.0,21.0
Wyoming,2018,3690,36000.0,25.0
Wyoming,2019,3630,34600.0,25.0
Wyoming,2020,3540,35500.0,24.0
Wyoming,2021,3460,42800.0,29.0
Wyoming,2022,4080,39100.0,30.0
Wyoming,2023,5030,37500.0,29.0
Wyoming,2024,3510,39900.0,27.0
