County,AQI_records_18,Good_18,Moderate_18,Unhealthy_sens_18,Unhealthy_18,Very_unhealthy_18,Hazardous_18,Max_AQI_18,90th_Percentile_AQI_18,Median_AQI_18,CO_18,NO2_18,O3_18,PM2.5_18,PM10_18,AQI_records_19,Good_19,Moderate_19,Unhealthy_sens_19,Unhealthy_19,Very_unhealthy_19,Hazardous_19,Max_AQI_19,90th_Percentile_AQI_19,Median_AQI_19,CO_19,NO2_19,O3_19,PM2.5_19,PM10_19
Clark,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,365.0,128.0,232.0,5.0,0.0,0.0,0.0,122.0,87.0,58.0,1.0,10.0,236.0,110.0,8.0
Clark,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,362.0,147.0,213.0,2.0,0.0,0.0,0.0,105.0,67.0,53.0,0.0,0.0,102.0,260.0,0.0
Clark,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,364.0,277.0,86.0,1.0,0.0,0.0,0.0,128.0,63.0,34.0,0.0,0.0,127.0,237.0,0.0
Craighead,90,54,36,0,0,0,0,75,61,46,0,0,0,90,0,49.0,35.0,14.0,0.0,0.0,0.0,0.0,65.0,58.0,41.0,0.0,0.0,0.0,49.0,0.0
Crittenden,365,206,156,3,0,0,0,115,61,47,0,2,87,276,0,365.0,212.0,152.0,1.0,0.0,0.0,0.0,101.0,60.0,47.0,0.0,0.0,107.0,258.0,0.0
Garland,121,77,44,0,0,0,0,88,59,42,0,0,0,121,0,121.0,61.0,60.0,0.0,0.0,0.0,0.0,77.0,60.0,50.0,0.0,0.0,0.0,121.0,0.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,117.0,76.0,41.0,0.0,0.0,0.0,0.0,77.0,59.0,45.0,0.0,0.0,0.0,117.0,0.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,8.0,0.0,0.0,0.0,102.0,0.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,360.0,340.0,20.0,0.0,0.0,0.0,0.0,80.0,47.0,35.0,0.0,0.0,360.0,0.0,0.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,365.0,232.0,132.0,1.0,0.0,0.0,0.0,105.0,61.0,46.0,0.0,0.0,94.0,271.0,0.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,365.0,192.0,173.0,0.0,0.0,0.0,0.0,93.0,65.0,49.0,0.0,19.0,0.0,330.0,16.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,103.0,85.0,18.0,0.0,0.0,0.0,0.0,66.0,54.0,34.0,0.0,0.0,0.0,103.0,0.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,365.0,249.0,109.0,3.0,4.0,0.0,0.0,190.0,64.0,41.0,0.0,0.0,123.0,242.0,0.0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0,365.0,343.0,22.0,0.0,0.0,0.0,0.0,63.0,49.0,38.0,0.0,2.0,328.0,35.0,0.0
Newton,364,326,38,0,0,0,0,84,51,36,0,0,331,33,0,365.0,344.0,21.0,0.0,0.0,0.0,0.0,90.0,48.0,36.0,0.0,0.0,342.0,23.0,0.0
Polk,363,293,70,0,0,0,0,93,57,40,0,0,287,76,0,361.0,291.0,69.0,1.0,0.0,0.0,0.0,119.0,58.0,40.0,0.0,0.0,287.0,74.0,0.0
Polk,363,293,70,0,0,0,0,93,57,40,0,0,287,76,0,365.0,268.0,97.0,0.0,0.0,0.0,0.0,100.0,58.0,42.0,0.0,0.0,138.0,227.0,0.0
Polk,363,293,70,0,0,0,0,93,57,40,0,0,287,76,0,365.0,251.0,114.0,0.0,0.0,0.0,0.0,100.0,60.0,42.0,0.0,2.0,174.0,189.0,0.0
Polk,363,293,70,0,0,0,0,93,57,40,0,0,287,76,0,344.0,334.0,10.0,0.0,0.0,0.0,0.0,74.0,44.0,31.0,0.0,0.0,344.0,0.0,0.0
Pulaski,365,164,199,2,0,0,0,122,66,52,0,1,86,278,0,365.0,145.0,220.0,0.0,0.0,0.0,0.0,81.0,64.0,53.0,0.0,2.0,88.0,275.0,0.0
