AQI_records_21,Good_21,Moderate_21,Unhealthy_sens_21,Unhealthy_21,Very_unhealthy_21,Hazardous_21,Max_AQI_21,90th_Percentile_AQI_21,Median_AQI_21,CO_21,NO2_21,O3_21,PM2.5_21,PM10_21,State_County_Year
116,91,25,0,0,0,0,69,53,35,0,0,0,116,0,GeorgiaCoffee2021
245,239,6,0,0,0,0,67,46,33,0,0,245,0,0,GeorgiaColumbia2021
245,230,15,0,0,0,0,87,47,36,0,0,245,0,0,GeorgiaDawson2021
365,190,173,2,0,0,0,119,66,49,0,18,59,288,0,GeorgiaDeKalb2021
352,166,182,4,0,0,0,133,69,51,0,0,0,352,0,GeorgiaDougherty2021
244,215,27,2,0,0,0,101,58,38,0,0,244,0,0,GeorgiaDouglas2021
354,234,118,2,0,0,0,141,62,38,0,0,0,354,0,GeorgiaFloyd2021
365,147,214,4,0,0,0,150,71,53,0,3,44,318,0,GeorgiaFulton2021
322,267,55,0,0,0,0,80,54,38,0,0,185,137,0,GeorgiaGlynn2021
324,173,149,2,0,0,0,108,67,49,0,0,71,253,0,GeorgiaGwinnett2021
365,209,156,0,0,0,0,83,62,46,0,0,0,365,0,GeorgiaHall2021
360,259,100,1,0,0,0,112,63,39,0,0,140,220,0,GeorgiaHenry2021
359,182,173,4,0,0,0,111,65,49,0,0,0,359,0,GeorgiaHouston2021
358,213,145,0,0,0,0,86,60,46,0,0,0,358,0,GeorgiaLowndes2021
276,240,36,0,0,0,0,87,52,38,0,0,223,53,0,GeorgiaMurray2021
353,233,118,1,1,0,0,155,63,43,0,0,87,266,0,GeorgiaMuscogee2021
352,326,26,0,0,0,0,80,49,36,0,0,352,0,0,GeorgiaPike2021
364,174,183,7,0,0,0,145,70,51,0,0,76,287,1,GeorgiaRichmond2021
243,216,27,0,0,0,0,93,54,39,0,0,243,0,0,GeorgiaRockdale2021
245,228,17,0,0,0,0,74,49,35,0,0,245,0,0,GeorgiaSumter2021
233,93,139,1,0,0,0,110,68,53,0,0,0,233,0,GeorgiaWalker2021
365,178,184,3,0,0,0,111,69,51,0,0,0,365,0,GeorgiaWashington2021
365,336,29,0,0,0,0,65,48,27,0,0,0,365,0,HawaiiHawaii2021
365,364,1,0,0,0,0,58,39,28,1,2,267,88,7,HawaiiHonolulu2021
364,364,0,0,0,0,0,47,29,17,0,35,0,329,0,HawaiiKauai2021
363,361,2,0,0,0,0,63,31,21,0,0,0,363,0,HawaiiMaui2021
365,223,124,15,3,0,0,173,79,46,0,7,207,150,1,IdahoAda2021
365,245,112,7,1,0,0,155,76,44,0,0,96,195,74,IdahoBannock2021
364,182,168,7,7,0,0,197,74,51,0,0,0,364,0,IdahoBenewah2021
350,288,52,10,0,0,0,144,66,23,0,0,0,350,0,IdahoBlaine2021
365,186,167,10,2,0,0,161,72,49,0,0,0,365,0,IdahoBoise2021
364,260,94,4,4,2,0,203,63,37,0,0,0,319,45,IdahoBonner2021
356,275,72,9,0,0,0,144,67,31,0,0,0,356,0,IdahoBonneville2021
363,289,71,3,0,0,0,128,67,42,0,0,350,13,0,IdahoButte2021
365,209,147,5,4,0,0,172,71,46,0,0,0,347,18,IdahoCanyon2021
110,93,17,0,0,0,0,99,57,8,0,0,0,110,0,IdahoCuster2021
365,285,74,6,0,0,0,119,66,28,0,0,0,365,0,IdahoFranklin2021
365,237,112,9,7,0,0,188,77,42,0,0,186,179,0,IdahoIdaho2021
357,268,81,3,5,0,0,195,60,31,0,0,0,357,0,IdahoKootenai2021
360,309,41,5,5,0,0,195,57,20,0,0,0,360,0,IdahoLatah2021
365,188,157,16,4,0,0,172,83,47,0,0,0,365,0,IdahoLemhi2021
365,251,96,15,2,1,0,204,77,34,0,0,0,365,0,IdahoNez Perce2021
363,186,162,9,6,0,0,179,75,49,0,0,0,362,1,IdahoShoshone2021
