Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State_County_Year
361,294,64,3,0,0,0,129,59,38,0,0,300,61,0,indianagreene2018
365,229,130,6,0,0,0,129,63,45,0,0,165,200,0,indianahamilton2018
365,335,28,2,0,0,0,108,48,33,0,0,365,0,0,indianahendricks2018
116,80,35,1,0,0,0,111,60,41,0,0,0,116,0,indianahenry2018
365,234,126,5,0,0,0,108,61,44,0,0,145,220,0,indianahoward2018
358,337,21,0,0,0,0,97,46,31,0,0,358,0,0,indianahuntington2018
341,321,20,0,0,0,0,90,47,32,0,0,341,0,0,indianajackson2018
357,311,42,4,0,0,0,122,54,35,0,0,357,0,0,indianaknox2018
363,288,68,6,1,0,0,161,61,37,0,0,316,47,0,indianalaporte2018
365,139,220,5,1,0,0,151,69,54,0,3,67,292,3,indianalake2018
365,199,159,7,0,0,0,136,63,48,0,0,125,240,0,indianamadison2018
365,105,249,10,1,0,0,158,73,55,0,0,81,284,0,indianamarion2018
335,182,153,0,0,0,0,98,63,48,0,0,0,335,0,indianamonroe2018
364,337,27,0,0,0,0,100,47,33,0,0,364,0,0,indianamorgan2018
350,324,26,0,0,0,0,80,50,35,0,0,350,0,0,indianaperry2018
365,214,146,4,1,0,0,164,64,47,0,0,160,190,15,indianaporter2018
360,326,34,0,0,0,0,100,50,34,0,0,360,0,0,indianaposey2018
361,331,25,5,0,0,0,112,49,34,0,0,361,0,0,indianashelby2018
121,72,49,0,0,0,0,87,61,41,0,0,0,121,0,indianaspencer2018
365,173,185,7,0,0,0,133,67,51,0,1,123,241,0,indianast.joseph2018
181,108,73,0,0,0,0,92,62,43,0,0,0,181,0,indianasullivan2018
345,207,138,0,0,0,0,80,59,46,0,0,0,345,0,indianatippecanoe2018
365,200,162,3,0,0,0,143,64,48,0,0,122,243,0,indianavanderburgh2018
365,188,174,3,0,0,0,115,67,50,0,0,132,233,0,indianavigo2018
362,315,42,5,0,0,0,129,54,35,0,0,362,0,0,indianawabash2018
365,324,38,3,0,0,0,126,51,35,0,0,365,0,0,indianawarrick2018
