State,County,age_adjusted_trend,crude_trend,latest_age_adjusted,latest_crude,rank
Maryland,Wicomico,-0.2699999999999976,-0.26999999999999763,6.5,7.0,4131.0
Michigan,Montcalm,-0.5499999999999775,-0.5499999999999783,7.7,9.1,4132.5
Wisconsin,Douglas,-0.14999999999999342,-0.12999999999999595,5.5,6.5,4133.0
North Carolina,Davidson,-0.4099999999999992,-0.3999999999999851,7.3,8.8,4133.0
Virginia,King William,-0.23999999999999427,-0.2599999999999915,6.3,7.2,4133.5
New Jersey,Essex,-0.1499999999999999,-0.14285714285713658,5.5,5.9,4135.0
Michigan,Genesee,-0.5499999999999848,-0.5499999999999853,7.7,9.0,4135.5
Washington,Columbia,-0.17999999999999577,-0.14999999999999217,5.8,7.9,4135.5
Michigan,Bay,-0.4099999999999996,-0.4299999999999963,7.3,8.9,4137.0
New York,Tioga,-0.2900000000000016,-0.2600000000000058,6.6,8.3,4137.0
Illinois,Peoria,-0.25999999999996865,-0.21999999999996722,6.4,7.3,4138.0
Vermont,Grand Isle,-0.11000000000001416,-0.1100000000000218,5.1,6.5,4139.0
New York,Sullivan,-0.35999999999995386,-0.369999999999937,7.0,8.4,4139.0
Pennsylvania,Allegheny,-0.14000000000000198,-0.10000000000000021,5.4,6.3,4140.0
Montana,Phillips,-0.24000000000000968,-0.20000000000001525,6.3,8.3,4140.5
New Mexico,Los Alamos,-0.07999999999998038,-0.06999999999997454,3.3,3.9,4141.0
Maryland,Dorchester,-0.31999999999999773,-0.3099999999999918,6.8,8.7,4142.5
Virginia,Powhatan,-0.1700000000000047,-0.1700000000000129,5.7,6.9,4144.5
Nevada,Lyon,-0.3599999999999681,-0.3699999999999438,7.0,8.6,4145.0
California,San Benito,-0.09999999999996974,-0.06999999999995138,4.7,5.0,4145.5
Illinois,La Salle,-0.30999999999996103,-0.28999999999994874,6.7,8.1,4147.0
Illinois,Schuyler,-0.3799999999999728,-0.36999999999996663,7.1,9.0,4147.5
Nebraska,Antelope,-0.1999999999999626,-0.17999999999995778,5.9,7.7,4148.0
California,San Mateo,-0.07999999999998798,-0.03999999999997884,3.5,4.0,4149.0
Indiana,Union,-0.5099999999999845,-0.509999999999984,7.6,9.3,4149.0
Indiana,Bartholomew,-0.309999999999969,-0.29999999999996224,6.7,7.5,4150.0
Tennessee,Hamilton,-0.3599999999999765,-0.3099999999999693,7.0,8.0,4150.0
Illinois,Richland,-0.3799999999999807,-0.4199999999999837,7.1,8.7,4151.0
Nebraska,Grant,-0.1999999999999692,-0.10999999999996792,5.9,7.9,4152.0
Kansas,Lane,-0.21999999999997433,-0.18999999999996414,6.1,8.0,4152.0
Virginia,Fairfax,-0.08000000000000303,-0.04999999999999989,3.8,4.2,4152.0
North Carolina,Person,-0.3999999999999848,-0.33999999999998004,7.2,9.0,4153.5
Oklahoma,Cleveland,-0.22999999999999557,-0.16999999999998994,6.2,6.2,4154.0
Kentucky,Shelby,-0.4799999999999581,-0.4799999999999443,7.5,8.5,4156.0
Tennessee,Maury,-0.39999999999998564,-0.38999999999998086,7.2,8.2,4156.5
Michigan,Alcona,-0.5100000000000071,-0.6400000000000174,7.6,11.4,4157.0
North Carolina,Graham,-0.7000000000000016,-0.7699999999999969,7.8,10.0,4159.0
Massachusetts,Middlesex,-0.08999999999997886,-0.019999999999974243,4.3,4.8,4159.0
Nebraska,Burt,-0.19999999999997806,-0.17999999999997388,5.9,7.7,4163.0
Arkansas,Benton,-0.21999999999999723,-0.1899999999999792,6.1,6.4,4170.0
Wisconsin,Iowa,-0.11999999999998959,-0.09999999999998534,5.1,6.3,4170.0
Michigan,Oceana,-0.5299999999999728,-0.5299999999999588,7.6,9.6,4175.0
Virginia,Suffolk,-0.19999999999999202,-0.16999999999998924,5.9,6.6,4175.0
New Hampshire,Cheshire,-0.23999999999995683,-0.22999999999995063,6.2,7.4,4179.0
Alaska,Sitka,-0.14999999999997757,-0.12999999999996578,5.4,6.1,4180.0
Nebraska,Otoe,-0.1599999999999608,-0.13999999999994844,5.5,6.8,4180.0
North Carolina,Cumberland,-0.2999999999999859,-0.2099999999999761,6.6,6.5,4180.5
Ohio,Putnam,-0.2600000000000219,-0.240000000000024,6.4,7.7,4181.0
Oregon,Douglas,-0.3699999999999365,-0.4099999999999237,7.0,9.1,4182.0
Illinois,Sangamon,-0.23999999999997182,-0.1999999999999701,6.2,7.3,4186.0
Nebraska,Polk,-0.1599999999999753,-0.16999999999995916,5.5,7.1,4186.0
Mississippi,Lowndes,-0.3699999999999672,-0.32999999999995816,7.0,7.9,4187.0
Pennsylvania,Northampton,-0.16999999999998217,-0.09999999999996984,5.6,6.7,4187.5
Louisiana,Livingston,-0.40999999999996145,-0.399999999999956,7.2,7.7,4187.5
Connecticut,Fairfield,-0.09999999999996222,-0.07999999999995046,4.4,5.1,4191.0
Virginia,Patrick,-0.5399999999999867,-0.5699999999999901,7.6,10.3,4191.0
Kentucky,Nelson,-0.5499999999999625,-0.5599999999999546,7.6,8.7,4195.0
Georgia,Butts,-0.6300000000000104,-0.610000000000007,7.7,8.4,4196.5
Tennessee,Montgomery,-0.3300000000000034,-0.2199999999999899,6.8,6.4,4197.0
Virginia,Southampton,-0.30000000000001553,-0.3100000000000209,6.6,8.3,4197.5
Montana,Meagher,-0.19000000000000947,-0.2100000000000156,5.8,8.2,4198.5
Georgia,Richmond,-0.39000000000001694,-0.35000000000001563,7.1,7.5,4199.0
Georgia,Hart,-0.6399999999999948,-0.6699999999999895,7.7,9.7,4200.5
Michigan,Monroe,-0.3499999999999999,-0.38000000000000306,6.9,8.2,4201.0
Virginia,Fredericksburg,-0.19000000000000963,-0.15000000000000732,5.8,5.3,4201.5
South Carolina,Horry,-0.30000000000002364,-0.2200000000000205,6.6,8.8,4201.5
Virginia,Fauquier,-0.14000000000000223,-0.10000000000000044,5.3,6.3,4201.5
North Carolina,Yancey,-0.4999999999999866,-0.5199999999999824,7.5,9.8,4202.0
Virginia,Chesterfield,-0.140000000000009,-0.1200000000000054,5.3,5.9,4203.5
Georgia,Troup,-0.430000000000019,-0.39000000000002405,7.3,8.0,4204.0
Washington,Pend Oreille,-0.24000000000000224,-0.23000000000000279,6.2,8.5,4205.0
Florida,Orange,-0.25000000000008077,-0.15000000000007374,6.3,6.4,4205.5
Kentucky,Boone,-0.2899999999999792,-0.27999999999997255,6.5,7.2,4207.5
Vermont,Orange,-0.1900000000000251,-0.18000000000002706,5.8,7.3,4209.5
Michigan,Chippewa,-0.5600000000000143,-0.5600000000000143,7.6,8.6,4212.0
Oregon,Multnomah,-0.139999999999956,-0.12999999999995002,5.2,5.3,4213.0
Virginia,New Kent,-0.17000000000001284,-0.2100000000000135,5.6,6.6,4213.5
Virginia,Sussex,-0.4699999999999752,-0.4999999999999707,7.4,8.1,4214.5
Virginia,Dinwiddie,-0.3200000000000047,-0.29000000000000975,6.7,8.0,4215.0
Georgia,Whitfield,-0.4399999999999716,-0.40999999999993875,7.3,7.9,4215.0
Louisiana,Jefferson,-0.30999999999994604,-0.24999999999993117,6.6,7.7,4216.5
Kentucky,Jefferson,-0.4399999999999872,-0.3999999999999859,7.3,8.2,4221.0
Wisconsin,Jefferson,-0.12999999999998066,-0.12999999999997303,5.1,5.9,4222.0
Georgia,Habersham,-0.39999999999999303,-0.38999999999997875,7.1,8.2,4223.5
New Mexico,Valencia,-0.17999999999992775,-0.14999999999990907,5.6,6.6,4224.5
South Carolina,Georgetown,-0.2700000000000048,-0.20000000000000814,6.4,9.0,4228.0
