Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
07/21/2021,AQS,540290009,1,18,ug/m3 SC,17,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/22/2021,AQS,540290009,1,12,ug/m3 SC,11,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/23/2021,AQS,540290009,1,12,ug/m3 SC,11,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/24/2021,AQS,540290009,1,23,ug/m3 SC,21,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/25/2021,AQS,540290009,1,18,ug/m3 SC,17,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/26/2021,AQS,540290009,1,15,ug/m3 SC,14,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/27/2021,AQS,540290009,1,23,ug/m3 SC,21,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/28/2021,AQS,540290009,1,22,ug/m3 SC,20,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/29/2021,AQS,540290009,1,24,ug/m3 SC,22,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/30/2021,AQS,540290009,1,8,ug/m3 SC,7,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
07/31/2021,AQS,540290009,1,10,ug/m3 SC,9,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/01/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/02/2021,AQS,540290009,1,9,ug/m3 SC,8,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/03/2021,AQS,540290009,1,8,ug/m3 SC,7,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
